
1;casa;c,a,s,a;casa|asa
1;gato;g,a,t,o;gato|gota|toga
1;bola;b,o,l,a;bola|loba|ola
1;luna;l,u,n,a;luna|nula|aun
1;mano;m,a,n,o;mano|mona|amo|ano|no
1;loco;l,o,c,o;loco|colo|col
1;peso;p,e,s,o;peso|pose|eso
2;amigo;a,m,i,g,o;amigo|miga|goma
2;perla;p,e,r,l,a;perla|pera|real
2;trapo;t,r,a,p,o;trapo|parto|rapto
2;barco;b,a,r,c,o;barco|obra|cabo
2;plato;p,l,a,t,o;plato|palo|alto
2;flaco;f,l,a,c,o;flaco|foca|cola
2;sordo;s,o,r,d,o;sordo|dorso|rodo
2;nueva;n,u,e,v,a;nueva|vena|nave
2;dolar;d,o,l,a,r;dolar|lado|roda
2;silla;s,i,l,l,a;silla|lisa|sal
3;marino;m,a,r,i,n,o;marino|mar|rima|mina
3;camion;c,a,m,i,o,n;camion|manco|cima
3;puerta;p,u,e,r,t,a;puerta|ruta|parte
3;tejado;t,e,j,a,d,o;tejado|dote|tajo
3;botella;b,o,t,e,l,l,a;botella|tela|bota
3;paleta;p,a,l,e,t,a;paleta|pala|tela
3;campera;c,a,m,p,e,r,a;campera|mapa|cama
4;planeta;p,l,a,n,e,t,a;planeta|plan|natal|lata|tapa
4;estadio;e,s,t,a,d,i,o;estadio|estado|seda|dato
4;montaje;m,o,n,t,a,j,e;montaje|monte|jamon|toma
4;tormenta;t,o,r,m,e,n,t,a;tormenta|torta|manto
4;gasolera;g,a,s,o,l,e,r,a;gasolera|sola|regla
4;caballero;c,a,b,a,l,l,e,r,o;caballero|cable|barca|roble
4;guitarra;g,a,u,i,t,a,r,r,a;guitarra|tira|agarra
4;lavadero;l,a,v,a,d,e,r,o;lavadero|ver|lado
4;carpeta;c,a,r,p,e,t,a;carpeta|carta|tapa
4;cerveza;c,e,r,v,e,z,a;cerveza|cereza|ave
5;mariposa;m,a,r,i,p,o,s,a;mariposa|mar|rosa|piso|rima
5;computar;c,o,m,p,u,t,a,r;computar|puma|carta|tocar
5;aventura;a,v,e,n,t,u,r,a;aventura|venta|ruta
5;relojero;r,e,l,o,j,e,r,o;relojero|ojo|roer
5;baloncesto;b,a,l,o,n,c,e,s,t,o;baloncesto|tacos|lento|canto
5;escritorio;e,s,c,r,i,t,o,r,i,o;escritorio|corte|corto|rocio
5;periodico;p,e,r,i,o,d,i,c,o;periodico|perico|decoro|poro|rio
5;copulacion;c,o,p,u,l,a,c,i,o,n;copulacion|cupo|colacion
5;temperatura;t,e,m,p,e,r,a,t,u,r,a;temperatura|meta|pura|rata
5;chocolate;c,h,o,c,o,l,a,t,e;chocolate|lote|coche|tela
